video_id,date,title,url,comment_count,candidate_score,source,setlist_count,song_1,song_2,candidate_comment
mcn6p_9dbxw,2018/10/28,【2000人記念】初の歌配信とファンネーム決め！,https://www.youtube.com/watch?v=mcn6p_9dbxw,3,5,pasted,2,チュルリラ・チュルリラ・ダッダッダ！ / 和田たけあき(くらげP) feat. 結月ゆかり,今好きになる。 / HoneyWorks feat.sana,"00:01 チュルリラ・チュルリラ・ダッダッダ！/和田たけあき(くらげP) feat. 結月ゆかり
00:02 今好きになる。/HoneyWorks feat.sana"
CVNgL7JQ5bw,2018/12/30,5000人突記念枠！夢川ライブ！！【夢川かなう】,https://www.youtube.com/watch?v=CVNgL7JQ5bw,3,30,pasted,2,かいしんのいちげき！ / 天月-あまつき,おじゃま虫 / DECO*27 feat. 初音ミク,"1. かいしんのいちげき！/天月-あまつき
2. おじゃま虫/DECO*27 feat. 初音ミク"
